train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
2,1947;4,5736;6,5600;4,3278;5,4421
3,0460;4,5410;7,9300;4,3141;7,0684
3,8067;4,5120;6,8800;4,2824;6,9263
3,7400;4,5104;9,5500;4,0345;8,6211
3,9960;4,5114;11,0800;4,0407;10,4053
3,8580;4,5233;11,6600;4,0369;10,2421
4,3673;4,4940;10,8200;4,1760;9,8579
5,0533;4,4655;14,9500;3,9475;12,7474
5,0007;4,4741;13,1900;4,0041;12,2211
6,0993;4,4229;12,9600;3,8935;11,5737
5,6160;4,4566;14,6300;3,9415;12,4421
6,6987;4,4411;18,7200;3,8990;16,0158
6,0893;4,4403;16,7500;3,9465;14,2053
6,0253;4,4456;16,5100;3,8091;12,9105
7,4240;4,3951;20,3200;3,7044;18,0737
6,3827;4,4266;20,4300;3,7134;18,4684
7,2860;4,3974;18,2500;3,7651;14,8421
6,4307;4,4528;18,0100;3,9351;15,0474
7,7987;4,3848;20,3400;3,5651;17,5368
7,2907;4,4166;20,6100;3,6462;16,9737
6,7500;4,4294;23,1700;3,7603;20,8316
9,4167;4,3389;23,4500;3,5356;20,7000
9,1507;4,3520;26,9100;3,4127;23,5474
8,7360;4,3825;25,3600;3,5456;21,9737
7,9020;4,3960;26,5000;3,6420;22,1789
8,5247;4,3871;25,9800;3,6516;21,5211
8,0353;4,3821;27,5600;3,4789;24,3158
10,0433;4,3217;24,3000;3,6304;21,5579
9,4780;4,3716;29,8200;3,4805;24,8789
8,9080;4,3600;31,5200;3,4378;26,2000
9,5580;4,3418;25,9600;3,7176;22,0526
8,4973;4,3846;32,4600;3,4657;27,6263
9,2687;4,3766;32,0300;3,3384;27,6211
9,5773;4,3594;31,5100;3,5354;26,9632
10,1493;4,3339;29,2500;3,3964;24,7316
11,5107;4,3131;28,1400;3,4271;24,1158
11,4920;4,3051;31,8400;3,4263;26,7684
10,4080;4,3208;34,1100;3,3806;29,0579
10,8040;4,3231;36,6200;3,1417;31,3684
10,7880;4,3186;33,0800;3,3141;28,2158
10,9913;4,3218;31,0500;3,4929;26,4368
10,4667;4,3324;37,6100;3,0014;30,5158
9,7187;4,3801;36,5700;3,3224;30,6632
10,3800;4,3297;35,6400;3,1503;29,5684
11,3120;4,3226;33,3500;3,4440;28,6000
11,8560;4,3048;37,7400;3,3011;31,3842
10,5720;4,3435;39,0500;3,1073;32,2737
11,5287;4,3116;36,7400;3,3405;31,1632
9,8313;4,3512;35,6900;3,3153;29,8895
12,8727;4,2807;37,2000;3,2410;31,5263
11,9627;4,2746;33,5600;3,3702;27,9947
11,6127;4,3212;37,8200;3,3981;31,9842
11,5887;4,3235;37,1600;3,3083;30,5842
13,2440;4,2643;35,7900;3,2584;28,8211
11,7180;4,3085;41,6100;3,0170;33,8000
11,2287;4,3194;42,1200;3,0617;35,0789
11,6920;4,3181;38,4900;3,3223;31,3316
11,2767;4,3207;36,7800;3,4168;30,3211
12,0227;4,2987;38,7500;3,4122;32,9105
11,7000;4,3055;36,8100;3,0293;30,0895
14,1280;4,2475;43,2800;3,0928;35,7158
14,7367;4,2044;40,2400;2,8666;33,2474
12,5993;4,2867;38,5200;3,0217;30,8053
11,6907;4,3051;41,4500;3,0444;34,9211
12,8760;4,2923;41,8400;3,1242;35,3737
12,2560;4,3059;45,8900;3,1150;38,2000
10,8373;4,3162;42,4800;3,2815;33,8526
12,4933;4,2882;47,1400;3,1031;38,1263
13,6200;4,2744;40,6700;3,2757;33,9684
10,5887;4,3501;41,7900;3,2573;35,5895
13,3100;4,2509;43,4800;3,1083;35,9632
10,8433;4,3433;37,0800;3,2078;30,1737
13,1293;4,2709;45,2900;3,1695;36,9316
13,8633;4,2408;46,3300;2,9647;38,4526
14,1540;4,2390;46,3700;2,9588;38,4842
13,3607;4,2652;40,5400;3,2773;32,9895
12,4027;4,2911;44,6100;3,1232;35,9632
14,3987;4,2286;48,1300;2,8334;40,2895
13,8447;4,2497;44,7300;3,0214;37,6421
14,1693;4,2376;43,7500;3,1917;36,1684
12,5553;4,2675;47,0000;3,0253;39,8895
14,2060;4,2562;43,2900;3,2197;34,0158
13,9033;4,2372;45,5200;3,0461;38,2263
12,8180;4,3033;47,1800;3,1214;38,1684
13,5553;4,2758;43,3500;3,1037;35,9263
16,9460;4,1441;48,6100;2,9601;40,7211
12,6473;4,2917;50,9000;2,8151;42,8737
13,5527;4,2639;43,1800;3,4414;35,3000
14,6920;4,2381;49,5700;2,9433;40,3158
10,7867;4,3370;50,3100;2,9321;41,7211
14,0047;4,2548;46,0200;3,0173;38,5474
13,1527;4,2814;50,4800;3,1043;41,3579
13,4327;4,2535;50,1300;2,9726;40,4947
15,3200;4,2278;49,1200;2,8700;41,4263
16,7253;4,1767;44,2100;2,9565;35,3105
11,8700;4,3224;49,2600;3,1206;39,6737
16,3007;4,1784;51,0200;2,9364;44,0211
15,2500;4,1892;45,4500;3,1080;36,0316
14,8133;4,2360;52,4600;2,8559;43,2737
15,9373;4,1824;52,4300;2,6747;43,2105
16,0187;4,1999;52,1900;2,8534;44,6316
16,1780;4,1644;53,7900;2,5104;43,8158
13,0940;4,2693;51,3000;2,8346;41,7632
15,2233;4,1903;50,4800;3,0684;41,9421
16,0860;4,1987;52,4500;2,6538;43,4789
15,8773;4,1932;50,7300;2,8057;40,9632
15,4200;4,1968;53,5400;2,7220;44,8105
17,9287;4,1058;52,6200;2,5148;43,8579
16,1233;4,1724;53,5800;2,6735;44,0947
15,8740;4,1923;54,0300;2,6838;46,9421
15,0667;4,2303;54,6300;2,8598;45,5842
14,9860;4,2073;55,4100;2,6187;46,3421
13,3193;4,2708;56,7600;2,7698;47,5737
15,7847;4,1864;54,9800;2,6289;46,9842
15,6027;4,2031;54,7200;2,6617;45,4579
15,5747;4,2001;54,8900;2,6830;46,1368
14,6600;4,2206;51,9500;2,9810;43,6526
13,9227;4,2323;55,7300;2,9682;47,7316
17,3233;4,1567;55,1500;2,7401;46,2632
15,2660;4,2268;56,5000;2,5954;46,7684
17,1860;4,1346;53,5800;2,7940;44,6316
18,3607;4,1345;57,9000;2,3665;47,4158
16,4800;4,1693;53,3700;2,8129;43,5053
17,2307;4,1968;58,5300;2,8981;49,6158
18,9367;4,1113;57,8500;2,6907;48,2000
17,5987;4,1311;55,9000;2,8875;45,7053
18,2207;4,1014;56,5000;2,7227;47,6421
16,0340;4,1735;58,9600;2,4078;49,4632
17,6207;4,1267;57,1400;2,8039;48,8474
18,2493;4,1214;58,4600;2,7812;49,4263
17,4327;4,1465;57,9300;2,7417;49,3632
16,7287;4,1959;60,0700;2,5949;50,4368
18,5700;4,1224;52,9400;2,8753;44,0789
18,2660;4,1297;54,5100;2,5972;45,3632
13,7327;4,2281;58,3200;2,9694;49,6105
16,7580;4,1405;58,4400;2,5678;48,8579
17,3253;4,1316;59,7600;2,5755;51,2526
17,2347;4,1464;59,3500;2,5813;49,1789
18,2700;4,1303;58,3600;2,6012;50,0895
15,2407;4,2379;58,9800;2,6699;49,7684
17,8047;4,1279;60,3600;2,6145;51,1421
16,8080;4,1517;59,3000;2,6709;50,7053
17,4893;4,1351;59,2500;2,7687;50,2105
18,7907;4,1203;60,3800;2,8135;49,5579
17,4727;4,1539;58,7200;2,7943;49,0105
18,6727;4,0892;60,8200;2,6337;50,5842
19,1600;4,0737;59,1100;2,4419;49,2842
20,3347;4,0746;60,7400;2,5370;51,7632
17,1800;4,1321;58,6600;2,5706;50,0789
15,9007;4,1714;61,7700;2,5870;51,9158
18,8587;4,0813;63,2500;2,4492;54,6316
17,4260;4,1348;60,5300;2,7177;50,8632
18,7847;4,1038;61,3500;2,6532;52,3789
21,7960;3,9923;64,3200;2,2267;54,2316
19,0707;4,1008;61,4700;2,5482;51,9842
22,6893;3,9826;65,0000;2,3878;55,0579
17,2900;4,1495;62,5700;2,6249;53,6053
21,2173;4,0308;63,1100;2,3448;52,5474
21,4620;4,0209;64,6900;2,4619;55,3579
16,5413;4,1582;61,9900;2,7089;52,9632
20,2247;4,0094;65,0500;2,2682;54,6579
20,9927;4,0547;64,4000;2,4401;55,2263
20,8407;4,0110;63,3500;2,4140;53,9632
21,1100;4,0291;63,2000;2,4486;53,4684
18,0727;4,1097;63,6800;2,5923;54,1000
20,1120;4,0600;64,9500;2,4107;55,6158
22,3293;3,9745;64,0900;2,2899;54,1579
21,2673;4,0101;65,9900;2,3370;55,2895
21,7040;4,0031;66,7000;2,3173;55,9421
19,2127;4,0591;65,3000;2,4210;54,7632
19,5133;4,0779;65,3900;2,6115;56,4000
21,2753;3,9835;67,5600;2,2705;58,0684
18,6527;4,1114;65,4500;2,6142;56,6579
19,6227;4,0648;67,8000;2,3416;57,9158
17,0773;4,1430;66,3300;2,6110;55,7895
16,7793;4,1492;65,6200;2,6928;54,4263
22,2420;3,9314;65,6500;2,3990;55,2158
19,0880;4,0366;67,5200;2,4413;57,2579
21,1493;3,9971;67,8800;2,3740;56,5737
17,9840;4,1246;65,7600;2,4677;55,8842
21,2393;3,9890;67,3600;2,3291;57,0211
22,5953;3,9411;68,5600;2,2229;57,7000
20,5813;4,0127;66,4000;2,5743;55,9105
19,7787;4,0404;67,6000;2,3059;56,5211
18,0387;4,1242;68,2700;2,3487;57,6368
21,7940;4,0206;67,3100;2,3996;57,0789
20,6887;4,0089;68,1300;2,3417;57,2000
18,4573;4,0863;68,1000;2,4948;57,2842
21,4093;3,9862;69,0100;2,3252;58,1421
19,4420;4,0585;68,4900;2,3250;58,0368
22,4953;3,9808;69,0500;2,2811;58,5316
22,9593;3,9325;67,5300;2,4046;57,2895
21,7520;3,9918;67,6100;2,3900;57,9947
20,5593;4,0288;68,3700;2,3394;58,5105
24,8107;3,8849;69,0600;2,3033;59,6000
25,0900;3,8665;68,3600;2,2476;58,8632
20,1313;4,0518;67,8600;2,3362;58,0947
16,6373;4,1675;68,5300;2,2956;59,1316
21,3120;3,9806;68,9100;2,4081;59,1263
19,2447;4,0608;68,9500;2,3466;58,8211
